CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn_Probability,Actual_Churn,CustomerId
676,France,0,43,2,0.0,1,1,1,55119.53,0.13638501,0,15578866
768,France,0,26,5,51116.26,1,1,1,70454.79,0.09879893,1,15622518
727,France,0,29,1,146652.01,1,1,1,173486.39,0.05335119,0,15685872
629,France,0,40,6,0.0,2,1,1,139356.3,0.06525381,0,15625126
702,Spain,1,43,6,116121.67,1,1,0,61602.42,0.18666159,0,15752809
796,Germany,0,52,9,167194.36,1,1,1,62808.93,0.18077914,1,15585580
530,Spain,0,41,4,0.0,2,0,1,147606.71,0.045784272,0,15738546
510,France,0,32,1,0.0,2,0,1,28515.17,0.013684501,0,15737080
709,France,1,44,9,128601.98,1,1,0,117031.2,0.108406305,0,15644400
642,Germany,0,40,6,129502.49,2,0,1,86099.23,0.059786443,1,15745844
655,Germany,0,30,1,83173.98,2,1,1,184259.6,0.0028874113,0,15581332
464,France,0,33,10,147493.7,2,1,0,100447.53,0.023269214,0,15640491
617,Spain,1,61,3,113858.95,1,1,1,38129.22,0.040272687,0,15673837
655,Germany,0,46,7,137145.12,1,1,0,115146.4,0.70212764,1,15768163
709,France,1,26,6,156551.63,1,0,1,4410.77,0.0016762303,0,15607786
642,France,1,48,9,118317.27,4,0,0,78702.98,0.9980247,1,15668283
741,Spain,0,42,9,121056.63,2,1,0,39122.58,0.07075752,0,15592379
415,Spain,1,53,5,167259.44,1,1,1,22357.25,0.15921964,0,15574369
684,France,1,30,2,0.0,2,1,0,83473.82,0.0118265925,0,15641122
706,Spain,1,29,2,0.0,2,1,1,18255.51,0.009189573,0,15664204
634,France,0,45,2,0.0,1,1,1,143458.31,0.30754688,0,15736730
813,France,1,29,6,0.0,1,1,0,33953.87,0.2675946,0,15620344
775,Germany,1,70,6,119684.88,2,1,1,74532.02,0.011746654,0,15648702
445,France,1,31,7,145056.59,1,1,1,175893.53,0.027652437,0,15780770
701,France,1,37,8,107798.85,1,1,0,16966.73,0.045884993,0,15679075
752,France,1,33,4,0.0,2,1,1,39570.78,0.00080850034,0,15697567
723,France,1,21,4,0.0,2,0,0,24847.02,0.0007036364,0,15678571
806,France,1,34,6,0.0,2,0,0,100809.99,0.0072689448,0,15639217
625,France,1,49,6,173434.9,1,1,0,165580.93,0.5638134,1,15654673
712,Spain,0,44,2,0.0,2,0,0,45738.94,0.05664483,0,15718454
571,Spain,0,22,3,108117.1,1,0,1,53328.7,0.028085552,0,15618695
639,France,0,37,4,116121.84,2,0,1,181850.74,0.09299794,0,15690153
627,France,0,44,5,0.0,2,1,0,82969.61,0.034010313,1,15662488
630,Spain,1,32,4,82034.0,1,0,0,146326.45,0.05819934,0,15775153
578,Spain,1,23,8,0.0,2,1,0,112124.98,0.004420229,0,15697283
679,Spain,1,39,6,0.0,2,1,0,12266.06,0.010317274,0,15642099
767,France,0,35,6,115576.44,1,0,1,27922.45,0.11105011,0,15677184
762,Spain,0,35,3,119349.69,3,1,1,47114.18,0.9792179,1,15640507
734,Spain,1,39,6,0.0,1,1,1,95135.27,0.046435785,0,15615029
659,Germany,1,67,6,117411.6,1,1,1,45071.09,0.048250344,1,15596175
575,Germany,1,49,7,121205.15,4,1,1,168080.53,0.99630946,1,15719508
580,France,0,35,1,102097.33,1,0,1,168285.85,0.0460204,0,15595917
766,Spain,1,41,0,0.0,2,0,1,34283.23,0.054958235,0,15765297
850,Germany,1,38,3,54901.01,1,1,1,140075.55,0.033189464,0,15607178
749,France,1,42,1,129776.72,2,0,1,143538.51,0.026357425,0,15775082
746,France,1,48,5,165282.42,1,1,0,153786.46,0.7726935,1,15585985
718,France,1,37,8,0.0,2,1,1,142.81,0.05773116,0,15648735
642,Spain,1,26,8,144238.7,1,1,1,184399.76,0.24608053,0,15737169
558,France,1,33,0,108477.49,1,1,1,109096.71,0.0052246093,1,15731148
531,Germany,0,64,2,175754.87,2,1,1,60721.4,0.004572143,0,15592707
748,France,0,41,2,91621.69,1,1,1,71139.31,0.26357678,0,15766047
664,France,1,36,1,0.0,2,1,1,95372.64,0.003105462,0,15752588
511,Germany,0,75,9,105609.17,1,0,1,105425.18,0.035014503,0,15808851
635,France,0,47,2,125724.95,2,1,0,63236.97,0.64882785,0,15791111
571,France,1,34,1,99325.04,2,0,1,186052.15,0.006893717,0,15775108
698,France,1,57,6,136325.48,2,1,1,72549.27,0.050369382,1,15621083
636,Spain,1,76,9,126534.6,1,1,1,39789.62,0.004372316,0,15781574
538,France,0,33,5,0.0,2,1,0,126962.41,0.0054096393,0,15775562
738,France,0,67,1,130652.52,1,0,1,22762.23,0.32141382,0,15772216
662,Spain,1,20,9,104508.77,2,0,0,73107.53,0.04476776,0,15632899
555,France,0,44,3,105770.7,3,1,0,60533.96,0.99895847,1,15786196
531,Spain,1,27,8,132576.25,1,0,0,7222.92,0.15528165,0,15619529
593,Germany,0,32,9,134096.53,2,1,0,53931.05,0.008349811,1,15683930
579,Germany,1,28,6,150329.15,1,1,0,145558.42,0.10589207,0,15576044
706,France,1,32,6,94486.47,1,1,1,146949.74,0.011902611,0,15574886
754,France,1,28,8,0.0,2,1,1,52615.62,0.0032060107,0,15797227
653,Germany,1,31,9,143321.97,1,1,0,83679.46,0.35673293,0,15813917
558,Germany,1,26,1,148853.29,2,1,1,24411.02,0.009012525,0,15809906
589,France,0,39,7,0.0,2,0,0,95985.64,0.12672149,0,15757661
670,Spain,0,65,1,0.0,1,1,1,177655.68,0.02319578,1,15804919
714,Germany,0,35,6,126077.43,2,1,1,53954.24,0.22435461,0,15571261
547,France,0,51,1,0.0,2,1,1,56908.41,0.116935365,0,15727361
761,Spain,1,37,7,132730.17,1,1,0,199293.01,0.039347127,0,15788930
591,France,1,24,6,147360.0,1,1,1,25310.82,0.012854511,0,15812750
714,France,0,31,4,125169.26,1,1,1,106636.89,0.013555631,0,15774510
629,Germany,1,35,7,156847.29,2,1,0,31824.29,0.088051684,0,15660211
643,France,1,36,7,161064.64,2,0,1,84294.82,0.06088665,0,15709737
445,Germany,0,38,6,119413.62,2,1,0,175756.36,0.21904963,0,15710295
501,France,0,34,3,107747.57,1,1,0,9249.36,0.015291478,0,15788539
686,Germany,0,43,5,154846.24,2,1,1,151903.6,0.17039797,0,15635776
500,Germany,1,30,2,125495.64,2,1,1,68807.47,0.0071002296,0,15779207
703,Germany,1,39,1,141559.5,1,1,1,31257.1,0.2030191,1,15611729
730,France,1,34,5,122453.37,2,1,0,138882.98,0.053647533,0,15705620
433,Spain,1,27,2,0.0,2,1,1,153698.65,0.008384131,0,15572735
521,Germany,1,41,8,120586.54,1,0,1,20491.15,0.2966574,0,15646366
791,Germany,0,33,10,130229.71,2,0,0,54019.93,0.11336506,1,15733872
757,France,1,38,0,0.0,1,1,0,83263.06,0.17858987,0,15686913
447,France,0,44,5,89188.83,1,1,1,75408.24,0.20472471,0,15628558
792,France,1,30,1,127187.86,1,1,1,113553.42,0.0015265399,0,15770539
817,France,1,59,1,118962.58,1,1,1,120819.58,0.103880614,0,15778481
607,France,0,33,8,91301.72,1,0,1,130824.57,0.054178372,0,15679743
601,France,1,41,1,123971.16,1,0,1,172814.99,0.084442474,0,15731890
536,France,1,32,7,178011.5,2,1,0,22375.14,0.22403668,0,15763895
554,Germany,0,36,3,157780.93,2,1,0,6089.13,0.08380127,0,15600879
577,France,1,60,10,125389.7,2,1,1,178616.73,0.030738002,0,15599403
608,France,0,41,5,0.0,2,1,1,72462.25,0.09299209,0,15630413
732,Spain,1,33,8,0.0,1,1,0,119882.7,0.4399505,0,15746594
789,France,0,53,1,158271.74,1,1,1,5036.39,0.17815025,1,15574213
552,France,0,34,5,0.0,2,1,1,1351.41,0.004354215,0,15685536
621,France,1,40,10,163823.37,1,0,0,89519.47,0.2650915,0,15750049
766,France,0,52,7,92510.9,2,0,1,66193.61,0.54163486,0,15672467
685,Spain,1,43,4,97392.18,2,1,0,43956.83,0.20485249,0,15641595
649,Spain,0,38,8,0.0,1,1,0,103760.53,0.44492832,0,15708357
493,France,0,36,2,0.0,2,0,1,99770.3,0.015119754,0,15619116
633,France,1,35,10,0.0,2,1,0,65675.47,0.0026865285,0,15661349
742,Germany,1,33,1,137937.95,1,1,1,51387.1,0.14810376,0,15652999
604,Spain,0,41,10,0.0,2,1,1,166224.39,0.09494018,0,15602909
759,France,1,42,4,105420.18,1,0,1,121409.06,0.0854021,0,15622911
683,France,0,35,6,187530.66,2,1,1,37976.36,0.08632006,0,15570134
678,France,1,28,2,109137.12,1,1,1,58814.41,0.09465496,0,15797822
628,France,1,31,0,88421.81,1,0,0,72350.47,0.047870137,0,15730137
850,France,0,36,6,0.0,2,1,1,190194.95,0.029205848,0,15648069
724,France,0,34,2,0.0,2,1,1,118863.38,0.014497229,0,15802390
828,France,1,31,9,0.0,1,0,1,164257.37,0.088498294,0,15693382
569,Spain,0,30,3,139528.23,1,1,1,33230.37,0.039241873,0,15578878
677,France,0,49,3,0.0,2,1,1,187811.71,0.010060476,0,15795933
495,France,0,38,2,63093.01,1,1,1,47089.72,0.04946228,0,15574795
627,Germany,0,33,4,83199.05,1,0,0,159334.93,0.035853166,0,15690164
597,France,0,36,9,0.0,2,1,1,7156.09,0.026036726,0,15706463
762,France,1,31,7,117687.35,1,1,1,159344.43,0.014525582,0,15635256
476,Spain,0,69,1,105303.73,1,0,1,134260.34,0.06512321,0,15630913
499,France,1,35,10,0.0,2,1,0,10722.54,0.0098894555,0,15716236
642,France,1,62,7,0.0,2,1,1,61120.75,0.0055714147,0,15757865
562,France,1,62,3,0.0,2,1,0,105986.01,0.8289492,0,15672082
542,France,0,25,7,0.0,2,0,1,82393.08,0.0027672919,0,15699507
451,France,0,31,7,140931.82,1,0,1,20388.77,0.009373806,0,15800805
712,France,0,37,1,106881.5,2,0,0,169386.81,0.19450644,0,15792222
565,France,1,34,6,0.0,1,1,1,63173.64,0.27563813,0,15613140
732,France,0,36,9,0.0,1,0,0,3749.0,0.07974086,1,15590349
771,Spain,1,51,5,135506.58,3,1,1,152479.64,0.9976363,1,15663410
655,France,0,41,5,0.0,1,0,0,36548.0,0.13789189,1,15592104
683,Spain,1,38,3,126152.84,1,0,0,15378.75,0.11388155,0,15689152
764,Spain,1,38,4,113607.47,1,1,0,91094.46,0.052603755,0,15677783
438,France,1,60,7,78391.17,1,0,1,49424.6,0.023523983,0,15751628
762,Spain,1,35,9,122929.42,2,0,0,149822.04,0.010941543,0,15658360
622,Spain,1,39,9,0.0,2,0,1,100862.36,0.017994158,0,15716041
660,Spain,0,33,1,0.0,2,0,0,117834.91,0.015883733,0,15603323
498,France,0,30,1,0.0,2,0,0,135795.53,0.0032824322,0,15724834
591,France,1,29,6,0.0,2,1,1,108684.65,0.012668927,0,15720529
554,Germany,0,37,4,58629.97,1,0,0,182038.6,0.2606306,0,15677369
506,France,0,34,4,90307.62,1,1,1,159235.29,0.04832732,0,15701164
505,Germany,0,25,5,114268.85,2,1,1,126728.27,0.0032254448,0,15637366
633,France,0,30,6,0.0,2,0,0,41642.29,0.0040862532,0,15780628
636,France,0,24,9,0.0,2,0,1,38830.72,0.0019188566,0,15589323
768,France,0,36,5,180169.44,2,1,0,17348.56,0.41617084,0,15753161
712,Germany,1,43,1,141749.74,2,0,1,90905.26,0.062440258,0,15657386
593,Germany,1,74,5,161434.36,2,1,1,65532.17,0.0012674556,0,15634949
708,Spain,1,38,8,99640.89,1,1,0,12429.22,0.03290772,0,15752097
529,France,0,43,0,123815.86,1,1,1,78463.99,0.18169758,1,15599126
579,Germany,1,42,0,144386.32,1,1,1,22497.1,0.56869245,1,15571193
815,France,1,24,7,171922.72,1,0,1,178028.96,0.030560557,0,15716781
606,Germany,1,40,1,144757.97,2,1,1,166656.18,0.033726744,0,15774328
608,Spain,0,63,3,139529.93,2,1,1,175696.16,0.13576828,1,15628767
648,Germany,0,40,5,139973.65,1,1,1,667.66,0.39843807,1,15613048
482,France,0,35,5,147813.05,2,0,0,109029.72,0.029561784,0,15631756
625,France,1,45,7,137555.44,1,0,0,124607.7,0.38263896,0,15723894
610,France,0,27,2,0.0,2,1,0,14546.76,0.009869315,0,15782121
548,France,1,29,5,83442.98,1,0,1,177017.39,0.050934263,0,15609545
850,France,0,32,5,106290.64,1,1,0,121982.73,0.006077309,0,15675675
580,France,1,55,6,104305.74,1,0,1,175750.21,0.29101634,0,15801658
652,France,1,27,10,107303.72,2,0,0,44435.76,0.015213933,0,15629787
687,Spain,0,29,7,93617.07,1,0,1,113050.92,0.09902529,0,15570908
539,France,1,30,0,0.0,2,1,0,160979.66,0.0010507941,0,15739438
470,Germany,1,39,5,117469.91,2,0,0,63705.9,0.1637211,0,15641662
514,France,0,41,7,0.0,2,1,1,3756.65,0.0042832387,0,15804950
534,France,1,24,1,0.0,1,1,1,169653.32,0.010378642,0,15779738
661,Germany,1,37,7,109908.06,2,1,0,115037.67,0.2856287,1,15792668
464,Germany,1,37,4,155994.15,1,0,0,143665.44,0.003789837,0,15748552
627,Spain,0,25,4,0.0,1,1,1,194313.93,0.02672673,0,15773512
781,Germany,1,35,7,92526.15,2,1,1,173837.54,0.03237092,0,15793366
555,Germany,1,41,10,113270.2,2,1,1,185387.14,0.035148825,0,15683841
619,Germany,1,23,5,132725.1,1,1,1,143913.33,0.03788525,0,15567897
775,Germany,0,38,6,179886.41,2,0,0,153122.58,0.045465622,0,15570051
671,Germany,0,44,0,84745.03,2,0,1,34673.98,0.2915719,0,15762238
735,Spain,1,36,5,0.0,2,1,0,105152.17,0.017484227,0,15579548
724,France,0,30,9,142475.87,1,1,1,107848.24,0.03516622,0,15644132
662,France,0,39,5,139562.05,2,1,0,61636.22,0.35684854,0,15598046
657,France,0,37,6,95845.6,1,1,0,122218.23,0.16707,0,15778463
809,Spain,1,33,9,0.0,1,1,1,124045.65,0.03539513,0,15799479
501,France,1,35,6,99760.84,1,1,1,13591.52,0.022312967,0,15696047
564,France,0,36,7,206329.65,1,1,1,46632.87,0.73541725,1,15784180
635,France,1,33,1,0.0,3,0,0,178067.33,0.5979963,1,15737025
790,France,0,33,10,135120.72,1,0,0,195204.99,0.026358364,0,15801395
656,France,1,37,7,112291.34,1,1,0,153157.97,0.042137768,0,15732774
679,France,1,60,8,0.0,2,1,1,51380.9,0.008798204,0,15768455
692,France,1,66,4,159732.02,1,1,1,118188.15,0.1478089,0,15712303
710,France,1,38,2,0.0,2,1,0,96.27,0.042332876,0,15639662
769,France,0,26,7,0.0,2,1,0,176843.53,0.012911689,0,15791767
666,France,0,34,9,115897.12,1,1,1,25095.03,0.031146852,0,15679587
691,France,1,52,3,0.0,1,1,0,175843.68,0.94423443,1,15814846
604,France,1,36,6,116229.85,2,1,1,79633.38,0.016525999,0,15599660
544,France,1,37,3,84496.71,1,0,0,79972.09,0.04511639,0,15641009
609,France,1,32,7,118520.41,1,0,0,3815.48,0.006662462,0,15747762
597,Spain,1,35,0,127510.99,1,1,1,155356.34,0.010718702,0,15705899
549,France,0,25,5,0.0,2,0,0,190857.79,0.0064230305,0,15691483
722,France,0,49,3,168197.66,1,1,0,140765.57,0.6619465,1,15681206
806,Spain,1,18,3,0.0,2,1,1,86994.54,9.7193784e-05,0,15657779
517,Germany,1,53,0,109172.88,1,1,0,54676.1,0.92822295,1,15695339
651,France,1,56,2,0.0,1,1,0,114522.68,0.9304365,1,15704583
803,France,0,40,6,165526.71,1,1,0,12328.08,0.92071736,0,15621815
747,Spain,1,37,1,0.0,2,0,1,180551.76,0.00442652,0,15668009
648,Germany,1,33,5,138664.24,1,1,0,29076.27,0.16411239,0,15621116
438,France,0,36,4,0.0,2,1,0,64420.5,0.009904365,0,15633064
781,Spain,0,29,6,98759.89,1,0,0,112202.64,0.04746626,0,15628008
610,Germany,1,57,6,106938.11,2,0,1,186612.47,0.6595299,0,15732020
628,France,1,39,6,0.0,2,0,0,134441.6,0.012009931,0,15578375
601,Spain,1,24,7,0.0,2,0,0,144660.42,0.0054413136,0,15734948
629,France,0,31,6,0.0,1,1,1,16447.6,0.0646095,1,15596984
738,Germany,1,62,10,83008.31,1,1,1,42766.03,0.06350665,0,15725221
850,Germany,1,30,5,123210.56,2,1,1,102180.27,0.005410068,0,15617603
587,Germany,1,46,9,107850.82,1,1,0,139431.0,0.72263783,1,15607537
574,France,1,34,1,112572.39,1,0,0,165626.6,0.0064709624,0,15793803
535,France,0,45,2,0.0,2,0,1,170621.55,0.1727022,0,15742820
565,France,1,32,9,0.0,2,1,0,5388.3,0.001864037,0,15592451
469,Germany,0,52,8,139493.25,3,0,0,150093.32,0.9998895,1,15696989
566,France,1,42,3,108010.78,1,1,1,157486.1,0.031252954,0,15746564
732,Spain,0,33,8,111379.55,1,1,1,45098.62,0.2296694,0,15800845
459,France,1,26,4,149879.66,1,0,0,50016.17,0.009590683,0,15626012
798,France,1,37,8,0.0,3,0,0,110783.28,0.09458364,0,15750658
487,Germany,0,61,5,110368.03,1,0,0,11384.45,0.980973,1,15720559
678,France,0,38,2,0.0,2,0,0,115068.99,0.06315167,0,15618182
850,France,1,37,6,0.0,2,1,0,109291.22,0.029519215,0,15624471
755,Germany,0,33,6,90560.3,2,1,1,42607.69,0.057955515,0,15802351
743,Germany,0,32,6,140348.56,2,1,1,163254.39,0.049164493,0,15762937
567,Germany,0,46,1,68238.51,2,1,1,109572.58,0.078743935,0,15736327
814,France,0,36,6,0.0,2,1,1,98657.01,0.03743979,0,15798666
543,France,1,42,4,89838.71,3,1,0,85983.54,0.9812377,1,15734610
663,Germany,1,44,2,117028.6,2,0,1,144680.18,0.19740948,0,15702669
621,Germany,1,51,4,109978.83,1,0,0,177740.58,0.98087317,1,15642391
666,Germany,1,38,6,99812.88,2,1,1,158357.97,0.022353347,0,15693233
600,Germany,1,30,2,119755.0,1,1,1,21852.91,0.068958566,0,15652981
699,Germany,0,41,1,200117.76,2,1,0,94142.35,0.08184764,0,15807245
569,Germany,1,30,6,106629.49,1,0,1,44114.88,0.28884414,0,15757895
702,Germany,1,36,9,90560.48,2,1,0,174268.87,0.047663648,0,15768120
832,France,0,29,5,0.0,2,1,0,178779.52,0.019264795,0,15599124
616,France,0,66,1,135842.41,1,1,0,183840.51,0.91902435,1,15646372
638,France,0,34,7,0.0,2,1,1,198969.78,0.003673692,0,15787151
582,France,1,29,4,0.0,2,0,0,156153.27,0.0035104041,0,15688395
627,France,1,73,0,146329.73,1,0,1,43615.67,0.002503618,0,15611644
722,France,1,30,5,0.0,2,1,0,166376.54,0.008170375,0,15692317
483,Germany,1,41,1,118334.44,1,0,0,163147.99,0.44237235,1,15723717
644,France,0,24,8,92760.55,1,1,0,35896.75,0.004336609,0,15700325
684,Spain,1,39,4,207034.96,2,0,0,157694.76,0.19141191,1,15769412
850,France,1,34,6,0.0,1,0,1,52796.31,0.31032145,0,15589969
625,France,0,39,3,130786.92,1,0,1,121316.07,0.17106111,0,15710257
814,France,0,31,4,0.0,2,1,1,142029.17,0.013078316,0,15623695
490,Germany,1,33,5,96341.0,2,0,0,108313.34,0.011923856,0,15671148
469,Spain,1,37,9,96776.49,1,1,1,119890.86,0.021011177,0,15649858
592,France,1,39,7,0.0,2,1,0,83084.33,0.024521777,0,15660385
718,France,1,27,2,0.0,2,0,0,26229.24,0.00293383,0,15622494
545,France,0,26,1,0.0,2,1,1,199638.56,0.00068825146,0,15599792
726,France,0,53,1,113537.73,1,0,1,28367.21,0.596771,0,15734578
660,Germany,1,39,9,134599.33,2,1,0,183095.87,0.088516295,0,15698522
762,France,1,32,10,191775.65,1,1,0,179657.83,0.57890016,0,15807003
628,France,1,33,6,0.0,2,0,0,184230.23,0.010517101,0,15767864
563,France,0,39,5,0.0,2,1,1,17603.81,0.032437053,0,15754605
666,France,0,32,10,112536.57,2,1,1,34350.54,0.013066062,0,15672826
636,France,1,43,6,0.0,2,1,0,43128.95,0.025402708,0,15734161
850,Germany,0,45,5,103909.86,1,1,0,60083.11,0.48390794,1,15602010
632,France,1,60,2,0.0,2,0,1,2085.32,0.060548387,0,15610147
756,France,1,27,8,0.0,2,1,1,157932.75,0.0024031708,0,15651958
659,France,0,50,3,0.0,1,1,0,183399.12,0.89703095,1,15605916
733,France,0,38,3,157658.36,1,0,0,19658.43,0.01694731,0,15811927
651,Spain,1,47,2,0.0,2,1,1,119808.64,0.014641707,0,15733032
630,France,0,40,7,0.0,2,1,1,34453.17,0.020604312,0,15650098
711,France,0,32,1,0.0,2,1,0,126188.42,0.01436519,0,15762543
593,Spain,0,45,6,79259.75,1,1,0,55347.28,0.115555614,0,15679284
560,France,1,50,3,0.0,2,1,0,84531.79,0.0813024,0,15795936
704,Germany,0,24,7,113034.22,1,1,0,162503.48,0.44258296,1,15724623
598,Germany,1,38,1,101487.18,1,1,1,75959.1,0.22500241,1,15759387
829,Germany,1,36,4,81795.74,2,1,0,90106.94,0.0072561596,0,15583736
592,France,0,37,7,0.0,2,1,1,126726.33,0.015897699,0,15789548
516,Spain,0,31,7,0.0,1,1,0,47018.75,0.089773774,0,15696141
603,France,0,48,5,0.0,1,1,0,100478.6,0.6481347,1,15776454
657,Spain,0,22,6,0.0,3,0,1,168412.07,0.73752314,1,15577107
847,Germany,0,41,3,101543.51,4,1,0,16025.17,0.9478419,1,15622033
481,France,0,34,5,0.0,2,1,1,125253.46,0.0019076439,0,15743570
711,France,1,38,10,0.0,2,0,0,53311.78,0.058852326,0,15713378
678,France,0,32,5,0.0,2,1,0,90284.47,0.05719046,0,15692583
617,Spain,0,46,3,106521.49,1,0,1,86587.37,0.14149436,0,15705403
756,France,0,26,5,101641.14,2,0,1,154460.68,0.02652169,0,15703399
808,France,1,32,1,0.0,2,1,1,46200.71,0.0003384763,0,15786539
574,France,1,33,8,100267.03,1,1,0,103006.27,0.025906,0,15610042
688,France,0,39,0,0.0,2,1,0,53222.15,0.05256109,1,15596303
671,Germany,0,48,9,116711.06,2,0,0,76373.38,0.26106623,0,15742116
582,France,0,32,4,0.0,2,1,0,59668.81,0.017488405,0,15759805
670,France,0,45,9,104930.38,1,1,0,155921.81,0.6066805,1,15572547
795,France,0,36,1,151844.64,1,1,1,135388.89,0.0061234864,0,15599272
554,France,0,30,9,0.0,2,1,1,40320.3,0.0016029457,0,15775880
484,France,0,50,2,90408.16,2,0,0,48170.57,0.5488841,0,15698184
603,France,1,51,8,186825.57,1,1,0,93739.71,0.5679323,1,15740442
778,France,1,33,1,0.0,2,1,0,85439.73,0.0049380837,0,15723028
661,Spain,0,42,9,75361.44,1,1,0,27608.12,0.52180684,1,15680278
667,France,1,44,8,122277.87,1,1,1,91810.71,0.23839802,0,15586243
675,France,0,21,8,98373.26,1,1,0,18203.0,0.0032345962,0,15755648
715,Spain,1,42,6,0.0,2,1,1,128745.69,0.006604221,0,15591344
495,France,0,40,1,140197.71,2,1,0,150720.39,0.08098885,0,15600357
680,France,0,30,8,141441.75,1,1,1,16278.97,0.008347967,0,15678910
711,Germany,0,52,8,145262.54,1,0,1,131473.31,0.9031052,0,15711299
563,France,0,34,6,0.0,2,0,0,36536.93,0.0043284656,0,15675431
655,Germany,0,37,4,108862.76,1,1,0,79555.08,0.4322428,1,15576216
834,France,0,49,2,131394.56,1,0,0,194365.76,0.24795672,1,15755196
503,France,0,28,5,0.0,2,1,0,125918.17,0.0031456787,0,15789815
668,Spain,0,30,8,0.0,2,1,0,138465.7,0.012360642,0,15593683
834,Germany,0,57,8,112281.6,3,1,0,140225.14,0.9993917,1,15806808
526,France,0,36,0,0.0,2,1,0,97767.63,0.020251246,0,15640377
576,Spain,1,19,6,0.0,2,0,0,72306.07,0.0069075394,0,15670343
480,Germany,0,25,3,174330.35,2,0,0,181647.13,0.0131792845,0,15738448
670,France,0,50,8,138340.06,1,0,1,3159.15,0.08807374,0,15571121
660,France,1,30,7,146301.31,1,0,0,96847.91,0.070530914,0,15756425
651,Germany,0,45,6,86714.06,1,1,0,85869.89,0.5935152,1,15733361
844,Spain,1,56,5,99529.7,1,0,1,157230.06,0.35451305,1,15748597
680,France,1,36,3,116275.12,1,1,1,63795.8,0.028660368,0,15574305
850,Spain,0,53,7,65407.16,2,0,0,182633.63,0.8050646,1,15804131
644,Germany,0,44,8,106022.73,2,0,0,148727.42,0.6424025,0,15595153
535,France,0,29,2,112367.34,1,1,0,185630.76,0.0732845,0,15582492
655,Spain,0,29,9,0.0,2,0,1,85736.26,0.009808756,0,15740878
609,France,0,39,8,141675.23,1,0,1,175664.25,0.10233444,0,15617705
633,Spain,1,42,10,0.0,1,0,1,79408.17,0.07804948,0,15756848
550,Germany,1,33,4,118400.91,1,0,1,13999.64,0.13953891,1,15748499
665,Germany,0,27,2,147435.96,1,0,0,187508.06,0.12962501,0,15699492
640,France,1,40,8,110340.68,1,1,1,157886.6,0.045322396,0,15578435
625,France,0,36,3,0.0,2,1,0,41295.1,0.023793919,1,15712536
633,Germany,1,40,5,86172.81,2,1,1,117279.49,0.06655669,0,15711062
